ID,group,condition,rt21,rt22,rt23,rt24,rt25,ERP21,ERP22,ERP23,ERP24,ERP25
22,1,1,1.1684,1.33744705882353,1.32758823529412,1.21401176470588,1.35635217391304,0.378300989081893,-0.684191888995594,1.75281184212299,1.63781403587003,0.218716425023399
23,1,1,1.52999999999999,1.55538461538461,1.66397500000001,1.21134999999999,1.3402,0.679575344679793,0.268971292495204,0.51331678802695,0.299061761909526,-0.212456728181025
24,1,1,1.03212727272728,1.0744,0.969517647058823,0.993352941176468,1.00639555555556,0.262960909070493,0.522802912934878,0.10730096467274,0.511620591717482,-0.281852622030791
42,1,1,1.723175,1.6891,1.69783333333333,1.69977777777778,1.6579,0.43770930875863,-0.272152001384493,0.764418632687551,1.07221653453418,0.464158463371261
44,1,1,3.32625454545455,2.19718461538462,2.77146153846154,2.3603857142857,2.88722162162162,-0.9344304647568,0.501803175945409,0.647604357778787,0.583651276490201,0.993544362734491
3,1,2,1.68054285714285,1.68169230769232,1.83192307692308,1.97801333333334,1.5901023255814,1.37910049763848,0.868049074570652,1.96707294703489,-0.152567719628472,-0.0130509461787927
4,1,2,1.0086888888889,0.919682352941177,0.901722222222216,0.948047058823522,0.861906976744186,0.471657836182603,-0.34408295934258,-0.274428564042794,-0.181635407995853,0.0376330737139212
5,1,2,1.26076363636364,1.83625333333333,1.70277777777779,1.406,1.47428,-0.142537400960001,0.370724301360499,0.102388143542663,-0.171584082153749,0.110322754649645
6,1,2,0.947440000000009,1.24810666666667,1.14594666666666,0.843174999999995,1.06905853658536,-0.711928180846693,0.97156337515717,1.72025859733905,-1.24027375952425,0.12463877958393
7,1,2,1.3276,1.2859875,1.31808235294117,1.15322352941176,1.16177727272727,0.161065579272807,0.0227291658067497,0.0415460348007,0.147084159395265,-0.124371155934204
8,1,2,1.53886666666667,1.84697777777777,2.00972727272727,1.63337777777777,1.69625925925926,-0.23405799983677,-0.12050445878075,0.726448777910479,-0.458990559671243,0.529103406748361
10,1,2,1.20072499999999,1.58159999999999,1.46109411764705,1.3602375,1.38006086956522,0.231802418749181,0.104844106407764,-0.141603890976844,-0.276046368866711,0.0890039026562012
13,1,2,1.60064999999999,1.77518181818183,1.50021666666667,1.65222857142857,1.49002777777778,-1.1098141105513,-0.594350999832789,0.168375530636213,-0.0479469856466218,-0.271447163392626
14,1,2,1.76129999999999,2.13319999999998,2.00096923076924,1.85896923076923,2.05492571428572,-0.431199604562899,0.121521174742066,0.908714699652888,-0.192792297395098,-0.38253686014783
18,1,2,0.958775000000004,0.846766666666665,0.755894117647066,0.720811111111108,0.804727272727271,0.505818682812386,-0.343023553297389,0.472779012342096,-0.601976836084095,0.171965635425014
19,1,2,1.50495555555556,1.25806666666667,1.28666666666667,1.07508571428571,1.22261395348838,0.10551267008671,0.174409500670737,0.358076485263349,-0.0752909905627206,0.0471213641765431
